station_id,indexes,nearest_forecast_long,nearest_forecast_lat,long,forecast,lat,year,month,day,hour
SN80700,[621 391],13.975379337351658,66.7995441292868,13.9793,266.69934,66.8102,2019.0,01,31,18
SN84630,[694 450],17.495286250848867,68.42049597913899,17.4802,267.2013,68.421,2019.0,01,31,18
SN17090,[292 316],10.904654306507677,59.3445433132385,10.897,269.505,59.3503,2019.0,01,31,18
SN76995,[378 148],2.9136209302517053,60.7897290186592,2.8978,277.11926,60.7827,2019.0,01,31,18
SN12290,[356 324],11.08468707049318,60.789993085253144,11.095,265.72766,60.8002,2019.0,01,31,18
SN51470,[360 218],6.220453256711425,60.64463470578632,6.222,270.4757,60.6455,2019.0,01,31,18
SN17000,[284 314],10.839583173927299,59.16253950788104,10.8288,272.31067,59.1513,2019.0,01,31,18
SN17380,[295 313],10.764223193999603,59.40736369816534,10.7543,269.64563,59.398,2019.0,01,31,18
SN46610,[316 215],6.354486994616784,59.656533237774795,6.3499,273.12903,59.6479,2019.0,01,31,18
SN99840,[948 414],15.40126058007761,74.07874170872535,15.5015,274.82434,78.2453,2019.0,01,31,18
SN80102,[603 366],12.591169235589373,66.38082721455585,12.611,272.67297,66.3705,2019.0,01,31,18
SN57789,[408 203],5.2073177048164965,61.66355621941249,5.1948,268.1847,61.6673,2019.0,01,31,18
SN69150,[476 327],10.867752184958608,63.486355201551355,10.8795,269.16516,63.4882,2019.0,01,31,18
SN51440,[360 216],6.1296739261670625,60.63848814470223,6.1105,269.33508,60.647,2019.0,01,31,18
SN94280,[803 538],23.704469386411294,70.67606980233805,23.6772,263.3302,70.6807,2019.0,01,31,18
SN60890,[440 233],6.413655886757549,62.47166389986575,6.4013,272.4015,62.4654,2019.0,01,31,18
SN41825,[247 222],7.041600315455458,58.14211572768398,7.0452,273.08704,58.134,2019.0,01,31,18
SN62200,[453 259],7.597430760395315,62.83418208996551,7.6048,269.61633,62.8275,2019.0,01,31,18
SN725,[412 349],12.119043033868508,62.07651754064621,12.132,260.09875,62.0818,2019.0,01,31,18
