station_id,lat,long,year,month,day,hour,forecast,gridpp,observation,observation_quality,gridpp_error,number_of_observations
SN76934,61.2063,1.8288,2019,5,13,12,7.19580000000002,7.268979999999999,8.0,0,0.7310200000000009,1311.0
SN57770,61.5717,4.6817,2019,5,13,12,6.0160999999999945,7.850000000000023,7.7,0,0.1500000000000225,1392.0
SN52360,60.7915,5.6238,2019,5,13,12,7.077639999999974,7.969940000000008,6.8,0,1.1699400000000084,1332.0
SN53230,60.8935,7.0557,2019,5,13,12,2.518070000000023,6.571000000000026,8.8,0,2.2289999999999743,1298.0
SN5590,60.1903,12.0067,2019,5,13,12,9.81493999999998,9.949999999999989,9.8,0,0.1499999999999879,1392.0
SN92500,70.1227,21.7223,2019,5,13,12,-2.109860000000026,-3.185729999999978,-1.4,0,1.7857299999999785,1353.0
SN75220,64.835,11.1408,2019,5,13,12,6.398930000000007,6.449999999999989,6.3,0,0.1499999999999888,1392.0
SN24350,60.0518,10.049,2019,5,13,12,10.825679999999975,12.196259999999995,10.2,0,1.996259999999996,1291.0
SN49420,60.128,6.6293,2019,5,13,12,6.412599999999998,8.312400000000025,6.6,0,1.7124000000000257,1391.0
SN22890,60.8643,9.545,2019,5,13,12,7.095199999999977,7.376530000000002,5.6,0,1.776530000000002,1330.0
SN31620,59.8397,8.1785,2019,5,13,12,4.686039999999991,3.850000000000023,3.7,0,0.150000000000023,1389.0
SN84500,68.432,17.662,2019,5,13,12,5.1284200000000055,5.449999999999989,5.3,0,0.1499999999999888,1393.0
SN2560,59.8388,11.3625,2019,5,13,12,9.96044999999998,11.35741999999999,10.2,0,1.1574199999999912,1311.0
SN80705,66.8275,13.948,2019,5,13,12,1.0971700000000055,-0.4642600000000243,-0.1,0,0.3642600000000243,1359.0
SN75190,64.8487,11.2322,2019,5,13,12,6.626460000000009,7.423279999999977,7.5,0,0.0767200000000229,1330.0
SN39150,58.1502,8.052,2019,5,13,12,12.684079999999994,14.327099999999971,12.7,0,1.627099999999972,1280.0
SN3720,59.5873,11.0962,2019,5,13,12,12.557129999999972,12.779330000000016,11.4,0,1.3793300000000157,1389.0
SN37230,59.0257,8.5187,2019,5,13,12,10.606929999999975,11.449999999999989,11.3,0,0.1499999999999879,1393.0
SN66810,62.6692,10.1523,2019,5,13,12,2.454600000000028,3.925299999999993,4.1,0,0.1747000000000067,1326.0
SN70390,63.656,12.2143,2019,5,13,12,2.353999999999985,3.485839999999996,3.2,0,0.2858399999999959,1316.0
SN44300,58.7605,5.6508,2019,5,13,12,10.270019999999988,9.050000000000011,8.9,0,0.150000000000011,1383.0
SN41770,57.9815,7.048,2019,5,13,12,7.760249999999985,8.850000000000023,8.7,0,0.1500000000000234,1349.0
SN19430,59.8923,10.5403,2019,5,13,12,12.96629999999999,13.426330000000007,10.9,0,2.526330000000007,1329.0
SN44605,59.1222,5.68,2019,5,13,12,10.80322000000001,11.545749999999998,9.4,0,2.145749999999998,1259.0
SN63000,62.7997,8.166,2019,5,13,12,6.812999999999988,7.221830000000011,6.8,0,0.4218300000000115,1254.0
SN71550,63.7045,9.6105,2019,5,13,12,7.282699999999977,7.649999999999977,7.5,0,0.1499999999999772,1393.0
SN82020,67.223,15.4125,2019,5,13,12,5.191899999999976,6.073199999999986,4.1,0,1.973199999999986,1331.0
SN84900,68.4323,18.0767,2019,5,13,12,-0.4057599999999866,1.4543800000000149,1.1,0,0.3543800000000148,1388.0
SN54710,61.178,8.1125,2019,5,13,12,0.764160000000004,2.550000000000012,2.4,0,0.1500000000000119,1313.0
SN25112,60.8705,8.5175,2019,5,13,12,5.583500000000015,5.350000000000023,5.2,0,0.1500000000000225,1388.0
SN82720,67.3335,15.8282,2019,5,13,12,-1.1801800000000071,-0.4532199999999875,-0.6,0,0.1467800000000124,1364.0
SN61065,62.6112,7.1135,2019,5,13,12,8.298339999999996,8.08553999999998,7.8,0,0.2855399999999806,1274.0
SN27295,59.3037,10.1975,2019,5,13,12,11.99169999999998,13.449340000000008,12.1,0,1.3493400000000086,1295.0
SN76963,64.994,6.5513,2019,5,13,12,6.640139999999974,6.505800000000022,5.9,0,0.6058000000000217,1369.0
SN62240,62.7603,7.3702,2019,5,13,12,8.315920000000006,9.155269999999971,8.5,0,0.6552699999999714,1324.0
SN90250,69.1448,19.0503,2019,5,13,12,3.60205000000002,4.481539999999995,4.6,0,0.1184600000000042,1305.0
SN76954,61.3322,3.897,2019,5,13,12,6.257319999999993,6.239599999999996,6.5,0,0.2604000000000042,1370.0
SN85890,67.5267,12.1038,2019,5,13,12,5.250499999999988,5.550000000000011,5.4,0,0.150000000000011,1392.0
SN12680,61.0917,10.4762,2019,5,13,12,9.91064,10.649999999999975,10.5,0,0.1499999999999755,1383.0
SN4590,60.2755,10.7475,2019,5,13,12,8.734860000000026,8.531999999999982,7.3,0,1.2319999999999824,1298.0
SN56420,61.2928,5.0443,2019,5,13,12,8.948730000000012,9.050000000000011,8.9,0,0.150000000000011,1392.0
SN26580,59.731,10.2142,2019,5,13,12,11.818849999999998,13.454650000000017,12.7,0,0.7546500000000176,1320.0
SN47260,59.3445,5.2115,2019,5,13,12,9.113769999999988,9.149999999999975,9.0,0,0.1499999999999755,1392.0
SN54590,61.1022,8.0172,2019,5,13,12,2.9965799999999945,5.261540000000025,4.0,0,1.261540000000025,1296.0
SN19815,59.6415,10.6038,2019,5,13,12,12.123539999999991,11.871500000000026,12.0,0,0.128499999999974,1320.0
SN8780,62.0103,10.0003,2019,5,13,12,3.947749999999985,4.834099999999978,6.2,0,1.365900000000022,1280.0
SN96850,70.2122,28.159,2019,5,13,12,3.64794999999998,4.75,4.6,0,0.1500000000000003,1388.0
SN13125,61.2865,10.2868,2019,5,13,12,7.860839999999996,11.060180000000004,10.5,0,0.5601800000000043,1323.0
SN43010,58.507,6.5045,2019,5,13,12,10.529800000000025,12.449999999999989,12.3,0,0.1499999999999879,1388.0
SN16265,61.8783,9.4153,2019,5,13,12,5.4965799999999945,8.551449999999988,8.0,0,0.5514499999999884,1282.0
SN53480,60.7192,7.2085,2019,5,13,12,0.7143599999999992,2.109559999999988,2.8,0,0.6904400000000117,1391.0
SN25165,60.9757,8.1557,2019,5,13,12,-0.916499999999985,1.944099999999992,-0.1,0,2.044099999999992,1319.0
