station_id,lat,long
SN76927,60.4913,2.8257
SN46432,59.8357,6.7108
SN85890,67.5267,12.1038
SN12680,61.0917,10.4762
SN4590,60.2755,10.7475
SN56420,61.2928,5.0443
SN26580,59.731,10.2142
SN47260,59.3445,5.2115
SN54590,61.1022,8.0172
SN19815,59.6415,10.6038
SN8780,62.0103,10.0003
SN96850,70.2122,28.159
SN57365,61.5027,6.1298
SN13125,61.2865,10.2868
SN43010,58.507,6.5045
SN16265,61.8783,9.4153
SN53480,60.7192,7.2085
SN25165,60.9757,8.1557
SN32890,59.497,8.1992
SN29950,58.9688,10.148
SN70960,64.3333,12.341
SN27420,59.1205,10.398
SN13110,61.1697,10.4107
SN30255,59.087234,9.6603635
SN46090,59.2942,6.2927
SN44610,59.0705,5.4122
SN31855,59.5873,8.585
SN32061,59.3822,9.2118
SN27010,59.713,10.146
SN65275,63.228,9.3853
SN79253,66.1657,14.5837
SN50830,60.4213,5.461
SN43895,58.5505,5.6815
SN56895,61.3457,6.3215
SN18020,59.8775,10.8185
SN84905,68.436,18.1035
SN30428,59.1855,9.5403
SN39750,58.6863,7.803
SN76956,71.3112,22.25
SN61408,62.4888,7.7612
SN60980,62.5082,6.0762
SN12550,60.7733,10.8055
SN68050,63.4428,10.4428
SN1380,59.376,11.3027
SN76959,60.5425,3.0468
SN36200,58.3988,8.7893
SN58100,61.8293,6.1043
SN78170,66.053,13.5822
SN61420,62.4458,7.8355
SN44080,58.6592,5.5553
SN94430,70.9352,24.6713
SN76926,58.3711,1.9091
SN89980,69.0935,19.6278
SN83960,68.2565,16.3953
SN58770,61.9032,6.026
SN79764,66.4993,14.954
SN50480,60.2913,5.2777
SN1960,59.51,11.6107
SN57810,61.7707,5.2983
SN65310,63.5185,7.9533
SN52310,60.8562,5.9733
SN79791,66.5548,15.3235
SN59586,62.3468,5.9143
SN25110,60.8548,8.593
SN68238,63.3478,10.3695
SN10800,62.6793,11.8153
SN6700,60.9573,11.4902
SN52555,60.7928,5.0218
SN28923,60.0393,9.1667
SN27470,59.1845,10.2553
SN24240,60.2588,9.8453
SN15950,62.0105,7.3928
SN30242,58.9928,9.9232
SN73630,64.6237,12.6053
SN38140,58.34,8.5225
SN50539,60.3837,5.332
SN99902,78.9273,11.8837
SN11790,60.791,10.3998
SN39100,58.0732,8.0532
SN55770,61.1792,6.8608
SN58910,61.912,6.5835
SN91675,69.7537,20.506
SN91729,70.075,20.431
SN26970,59.6625,10.3802
SN70980,64.1492,11.7635
SN44190,58.7345,5.7262
SN94235,70.5458,23.7303
SN99950,70.9394,-8.669
SN37150,59.0523,8.6537
SN4950,60.1468,11.494
SN61060,62.6512,6.7552
SN6170,60.624,11.9425
SN3290,59.3882,11.3905
SN52940,60.941,5.4988
SN50500,60.2892,5.2265
SN3730,59.5923,11.095
SN9310,62.2207,9.5423
SN84970,68.4912,16.6833
SN9400,62.179,10.6165
SN45350,59.0552,6.6467
SN90,61.1185,12.0647
SN87000,68.7183,15.3112
SN49085,60.2263,6.4347
SN87763,68.6269,16.5921
SN87117,69.271,16.0402
SN44985,58.8933,6.6665
SN87772,68.5863,16.3608
SN67280,62.9535,10.1788
SN26790,59.7498,10.0275
SN82290,67.267,14.3637
SN50503,60.35,5.3967
SN77230,65.7842,13.218
SN22690,60.632,9.8953
SN48170,59.9127,5.488
SN67890,62.7403,11.3245
SN35110,58.851,9.1197
SN61810,62.6578,8.0425
SN91740,69.7887,20.9553
SN60240,62.191,6.9933
SN36330,58.5158,8.7028
SN80615,66.6432,13.9298
SN27780,59.0467,10.125
SN90110,69.4229,18.6208
SN19663,59.964,10.3435
SN47350,59.4382,5.078
SN27433,59.1745,10.3655
SN54815,61.2747,8.1385
SN3810,59.5872,11.166
SN53101,61.1724,6.6452
SN24230,60.2225,9.8408
SN44560,58.8843,5.637
SN90400,69.6538,18.9095
SN36560,58.6582,8.63
SN11125,60.2852,11.1358
SN49865,60.3993,7.6148
SN78360,66.1317,13.5867
SN44563,58.9622,5.6147
SN65530,63.554,9.0533
SN94195,70.2784,24.1009
SN61340,62.5643,7.672
SN30244,59.0727,9.923
SN13655,61.5308,9.4023
SN59450,62.1467,5.2115
SN12590,60.928,10.6725
SN18269,59.9535,10.9035
SN87110,69.3073,16.1312
SN40905,59.6407,7.4553
SN43220,58.3798,6.1937
SN71230,63.7905,10.7303
SN63595,62.5818,9.2136
SN76245,65.2702,12.1457
SN76936,61.525,2.2097
SN59800,62.3293,5.268
SN3370,59.3193,11.0422
SN80707,66.8303,13.9067
SN16271,61.8883,9.4798
SN19923,59.819,10.33
SN88010,68.6753,17.9052
SN90630,69.903,19.4737
SN33300,59.7675,7.8173
SN76939,56.2782,3.3928
SN56250,61.2922,5.827
SN27450,59.23,10.3483
SN98265,70.5292,29.0918
SN34370,58.9397,9.3323
SN42490,58.5047,7.0787
SN89233,69.0917,18.2972
SN3005,59.1778,11.2075
SN32540,59.2728,9.2802
SN37600,59.2842,8.0895
SN34095,58.9817,9.6068
SN57000,61.391,5.76
SN98360,70.6028,29.7
SN38150,58.2968,8.462
SN99760,77.8953,16.72
SN63630,62.6352,9.392
SN24890,60.567,9.1323
SN82130,67.3312,15.162
SN85040,68.368,15.943
SN3190,59.2852,11.1128
SN50525,60.372,5.1555
SN50507,60.331,5.2992
SN90800,70.2452,19.4997
SN52535,60.7525,4.715
SN99870,78.2022,15.831
SN43007,58.4727,6.4062
SN46425,59.8228,6.7383
SN85560,68.155,13.615
SN82970,67.7463,15.9142
SN38730,58.6007,8.4167
SN26950,59.6027,10.4047
SN64300,63.1257,7.7027
SN31400,59.8655,8.6978
SN86810,68.781,14.4898
SN4960,60.2688,11.4792
SN50815,60.4768,5.348
SN16040,61.7782,9.5413
SN66740,62.7512,9.9845
SN43530,58.5603,6.0762
SN84920,68.53,17.4255
SN26630,59.7323,9.8728
SN87970,68.6207,17.6513
SN81340,67.2037,14.8187
SN47220,59.1895,5.1837
SN4200,59.9708,11.0383
SN42160,58.109,6.5675
SN27500,59.0272,10.5242
SN27285,59.3183,10.3748
SN52415,60.7018,5.2288
SN76935,61.4489,2.1425
SN65451,63.5187,9.1125
SN17640,59.7397,11.0083
SN16620,62.1807,9.4752
SN64700,62.722,8.7753
SN53010,60.9692,6.5055
SN99735,78.2508,22.8225
SN40880,59.5766,7.3897
SN21680,60.9345,10.0358
SN22990,60.9532,9.3343
SN52860,61.0272,5.3813
SN25541,60.68108,8.00375
SN90560,69.6988,18.8772
SN48069,59.7372,5.3795
SN9580,62.2695,10.732
SN60190,62.3065,6.849
SN99370,69.7255,29.8977
SN4825,59.942,11.3015
SN45530,59.0512,6.1212
SN11500,60.7002,10.8695
SN11440,60.5878,11.147
SN39450,58.3085,7.8125
SN15890,62.0162,7.6637
SN92895,70.0398,22.2573
SN33430,59.5315,8.1075
SN5680,60.3718,12.0435
SN61790,62.571,7.783
SN47480,59.5698,5.7025
SN27320,59.3535,10.3825
SN5330,60.3582,11.5898
SN7950,61.1847,11.3747
SN85640,68.0185,13.1803
SN27870,59.2737,9.9268
SN49860,60.3693,7.4945
SN90305,69.4338,19.2608
SN120,61.2177,12.6982
SN10070,62.5003,11.1723
SN38735,58.6042,8.4042
SN2480,59.8438,11.7178
SN98580,70.3545,31.044
SN66120,63.3093,9.5685
SN67340,62.8613,10.0213
SN26590,59.7445,10.2312
SN54645,61.1677,8.0413
SN97710,69.3003,25.346
SN89940,68.7817,19.7017
SN76958,65.1103,6.7912
SN27460,59.2173,10.4103
SN3990,59.7582,11.2923
SN99935,80.6518,25.0048
SN27400,59.23662,10.45604
SN84910,68.516,17.8725
SN28450,59.6112,9.4545
SN47300,59.3065,4.8723
SN11000,62.8715,11.8077
SN30280,59.1255,9.5077
SN94680,71.0105,25.9782
SN23300,60.8175,9.1185
SN84210,68.1905,17.7905
SN25830,60.5938,7.527
SN33555,59.6203,7.8332
SN16610,62.1133,9.2862
SN91480,69.1467,20.7468
SN8230,61.5747,11.0045
SN1600,59.2543,11.6843
SN4543,60.157,10.7217
SN55700,61.158,7.1413
SN58670,61.9078,7.0588
SN87640,68.8029,16.5362
SN60880,62.4837,6.4723
SN60225,62.2915,6.7928
SN26060,59.8387,9.8948
SN6690,60.8632,11.4172
SN58350,61.7668,6.5043
SN99710,74.5035,18.998
SN91420,69.2852,20.4657
SN94500,71.0937,23.9817
SN76960,59.1652,2.4873
SN6020,60.6142,12.0125
SN77041,58.8452,1.7437
SN60990,62.5617,6.115
SN81760,66.7525,15.8227
SN94805,70.7765,25.6297
SN19830,59.548,10.4922
SN44485,58.6833,5.9877
SN26900,59.7538,10.1207
SN31700,59.8703,8.9267
SN50514,60.3183,5.077
SN82310,67.3084,14.4309
SN15730,61.8957,7.8955
SN47060,59.418,5.4485
SN98630,70.2453,30.5303
SN44730,58.8662,5.7592
SN17895,59.794,10.76
SN71780,63.9678,10.2237
SN29720,60.4188,8.5263
SN62270,62.7443,7.2617
SN39212,58.1412,7.9397
SN76930,66.0256,8.085
SN97251,69.4635,25.5023
SN57150,61.4413,5.8222
SN73550,64.531,12.3837
SN27130,59.432,10.4217
SN70850,64.1587,12.4692
SN48070,59.7465,5.4025
SN59680,62.180413205637954,6.078056927162791
SN60640,62.297,7.2525
SN67210,63.1385,10.255
SN75410,64.7977,10.5493
SN82220,67.2783,14.5173
SN49087,60.2178,6.4298
SN64590,63.097,9.4367
SN17850,59.6605,10.7818
SN16845,62.147,8.6903
SN26750,59.5702,10.0597
SN86520,68.648,15.2832
SN27270,59.2782,10.4312
SN48330,59.9083,5.0683
SN62290,62.7413,7.2275
SN13160,61.4648,10.1277
SN76932,59.5742,2.2273
SN79220,66.2348,13.904
SN99927,80.0555,16.2433
SN4260,59.9775,10.9777
SN64760,62.9853,8.6895
SN18690,59.9112,10.7043
SN91505,69.585,20.3988
SN60247,62.028,6.7288
SN25580,60.5825,8.3213
SN80730,66.8815,13.6675
SN60947,62.4703,6.1945
SN88628,69.4988,17.511
SN48120,59.7933,5.3407
SN53530,60.6563,7.2755
SN32240,59.4175,9.0287
SN5495,60.102,12.063
SN4780,60.2065,11.0802
SN34100,58.9732,9.5368
SN80870,67.0837,14.2075
SN12666,61.108,10.442
SN8880,62.1093,10.6268
SN99460,69.4552,30.041
SN63725,62.6007,9.7215
SN27075,59.511,10.2078
SN80610,66.7628,12.486
SN58165,61.6093,6.5288
SN50360,60.3982,5.6502
SN17550,59.5177,10.7252
SN180,61.2943,12.2718
SN80200,66.3892,13.1848
SN46430,59.8315,6.733
SN98090,70.8708,29.0348
SN50865,60.3828,5.542
SN62950,62.9712,7.7793
SN6580,60.7525,11.7625
SN33890,59.7662,7.3653
SN64870,63.0493,9.0878
SN98550,70.3707,31.0962
SN20540,60.3558,10.5592
SN86600,68.58,15.0293
SN67140,63.3403,10.2973
SN59110,62.034,4.986
SN52390,60.626,5.4722
SN20361,60.2052,10.3113
SN71805,64.0972,10.5248
SN55970,61.1645,6.2087
SN39040,58.2,8.0767
SN47055,59.2955,5.489
SN95350,70.06,24.99
SN76967,60.3902,2.797
SN55820,61.4233,6.7642
SN13150,61.4582,10.1872
SN63940,62.2767,9.5877
SN89985,69.1025,19.5442
SN14200,61.7247,9.1542
SN61580,62.2943,8.1255
SN24670,60.2684,9.6919
SN90490,69.6767,18.9133
SN77490,65.3143,13.4483
SN86740,68.6072,14.4347
SN76925,64.352,7.77915
SN85080,68.5172,15.8768
SN78800,65.8255,14.1942
SN17280,59.4352,10.578
SN9250,62.1838,9.7182
SN2970,60.2525,12.4562
SN7420,61.3763,11.4992
SN32290,59.4895,8.6443
SN17980,59.8427,10.8236
SN18500,60.0513,10.6878
SN62480,62.8585,6.5378
SN88023,68.8698,17.479
SN25115,60.8397,8.4968
SN63820,62.4473,9.5827
SN54740,61.1883,7.6218
SN41175,58.2772,7.4388
SN99420,69.6873,30.005
SN77403,65.2168,13.3683
SN60500,62.2305,7.4218
SN13030,61.2247,10.2588
SN54731,61.1783,8.1527
SN17875,59.685,10.8312
SN91130,69.5588,20.094
SN2650,59.9119,11.5801
SN71320,63.5858,9.9705
SN29700,60.3738,8.4885
SN44970,58.8077,6.243
SN58060,61.7392,6.3913
SN28922,60.0435,9.1468
SN45870,59.16,6.0365
SN31560,59.7978,8.258
SN18210,59.923,10.804
SN11463,60.3977,11.2303
SN68120,63.3628,10.3597
SN89213,69.072,17.9633
SN50311,60.3877,5.9668
SN82110,67.2763,15.1018
SN70680,63.9425,11.4255
SN59860,62.27,5.9918
SN16400,62.0172,9.2143
SN9160,62.1282,9.9947
SN44545,58.858,5.6468
SN52458,60.4472,5.2067
SN26996,59.6473,10.1052
SN58900,61.9157,6.5585
SN84380,68.371,17.2438
SN10380,62.5773,11.3518
SN97120,69.7563,26.1457
SN15270,61.6775,8.369
